Age,Income,LoanAmount,CreditScore,EmploymentYears,Default
62,30503,88941,342,7,1
23,157578,85236,531,33,1
45,55994,72091,617,5,0
45,162241,97961,466,27,1
61,164556,94590,493,31,0
61,73723,96489,814,21,0
37,195660,58410,672,31,0
47,134050,56994,529,17,0
28,92707,89241,638,7,0
45,28920,60188,662,19,0
42,111341,11801,760,13,0
56,129996,83490,719,20,0
50,125856,31523,645,7,0
18,162947,20456,771,12,0
44,110814,60800,467,25,1
30,118612,37172,679,8,0
58,82450,41398,398,35,0
20,17925,68862,767,21,0
56,139248,51610,618,17,0
23,83826,35562,450,30,0
25,58101,79796,819,29,0
44,165685,18414,601,10,0
26,76473,92033,701,14,1
54,78903,19587,706,20,0
50,166033,86464,637,30,0
59,118913,19155,336,16,0
61,83107,82430,379,3,0
41,162688,79908,517,0,1
32,144017,41321,381,12,0
49,135938,59287,590,14,0
49,48984,71709,319,35,1
41,18539,56527,422,37,0
58,179361,99091,374,2,0
29,99986,15895,653,12,0
56,112558,61118,799,26,0
19,26391,32438,626,4,1
20,97260,39299,652,18,0
54,124240,99280,385,38,0
34,59906,80771,454,20,1
19,92666,85494,723,35,0
19,154322,10218,712,27,0
45,195207,91410,651,16,0
40,143991,59482,793,22,0
54,167137,98838,482,14,0
49,69785,68924,624,17,0
50,152775,69120,469,24,1
18,126109,50914,594,38,0
36,66754,41384,670,23,0
19,110376,99406,506,1,0
61,84966,7774,493,25,0
43,52621,24477,330,16,0
49,129595,31432,521,34,0
23,49936,30145,397,2,0
49,176511,19195,538,7,0
21,109071,16722,732,21,0
28,116052,96122,328,2,0
34,65460,90643,307,5,1
55,128089,74051,443,0,0
41,109191,44380,388,2,0
22,107142,31060,790,13,0
51,124748,96680,743,16,0
23,30941,34297,467,32,0
39,170339,43081,716,28,0
28,70590,61712,786,37,0
33,54876,29236,302,9,0
50,144913,48374,312,38,1
26,109631,83003,504,38,1
23,130770,48982,325,35,0
33,176579,53376,461,20,0
46,172129,83982,588,32,0
20,113314,14528,642,31,0
37,111602,58432,512,12,1
53,98926,5118,594,24,0
36,144875,26405,473,1,1
43,77468,84410,758,35,0
20,78180,24758,764,12,0
36,160656,14071,428,1,0
37,141371,62427,622,1,0
49,168704,14198,779,28,0
24,33673,87357,788,8,0
58,149415,87582,409,29,0
50,33950,36417,737,33,0
57,95600,43199,408,35,0
56,36547,12710,319,38,0
35,112305,81099,415,25,1
57,68027,59232,552,32,0
18,115532,58437,544,31,1
28,193603,59898,419,27,0
45,187299,5978,501,19,0
42,193755,13763,750,11,0
40,156462,46380,685,15,0
48,157951,89769,411,1,0
47,161007,94344,534,27,0
59,199701,75952,832,15,0
52,135605,39526,488,28,0
24,47574,37359,315,10,0
33,195738,47411,849,26,0
43,98663,30378,571,1,0
19,89657,51234,542,38,1
18,174579,24092,738,13,0
29,137544,47183,691,9,0
22,194627,90329,815,24,0
54,114752,15792,736,18,0
49,162654,23908,542,19,1
26,41631,12601,413,30,0
58,143902,62848,771,31,0
52,164236,68689,527,21,0
36,101820,5533,386,13,0
33,45646,34735,517,16,0
20,166878,30729,357,33,0
37,102633,43697,575,9,0
41,194046,12581,600,21,0
50,157356,64563,314,16,0
41,159929,78702,429,34,1
28,144278,9326,730,27,0
25,100424,87514,628,33,0
53,186512,72667,596,21,0
55,192178,51526,465,7,1
57,33951,12063,539,9,0
37,36009,6925,351,17,0
52,29835,99586,420,39,1
42,57290,61364,349,34,1
52,165013,60932,575,21,0
42,121174,59929,828,35,0
46,113727,76311,361,33,0
35,178989,15741,362,36,0
63,43039,15086,668,25,0
35,172161,91631,692,21,0
19,75059,56239,716,38,0
52,140873,39407,422,25,0
33,110278,19158,499,20,0
58,127951,82695,418,23,1
53,72247,41199,629,39,0
50,129826,22093,501,39,0
21,54833,77672,777,39,0
50,92453,72523,812,29,0
31,33254,17849,702,15,0
38,98981,32577,668,29,0
37,47611,14862,359,37,0
25,124314,20584,618,6,0
24,61827,32396,348,34,0
20,28830,67631,630,38,0
34,121485,58766,782,24,0
50,127749,26455,359,5,0
29,20696,37292,839,39,0
39,81278,59896,479,13,1
39,177334,91602,609,10,0
63,183021,15426,461,30,0
47,158497,16420,827,29,0
55,190569,82238,639,29,0
55,72420,57086,590,21,0
62,167712,89568,335,9,0
25,114320,12647,386,37,0
44,139434,41893,334,1,0
44,138912,52507,482,33,0
51,121578,63333,620,33,0
38,62150,75722,426,16,0
47,172183,67012,805,31,0
50,183365,47283,302,0,1
45,118513,20528,478,31,1
64,195736,83669,378,37,0
50,33306,51887,397,3,0
22,110896,49169,324,39,0
36,107672,8856,380,17,0
21,164370,11158,499,12,0
52,19753,18916,365,2,0
34,92704,39484,450,36,1
61,89374,51561,349,28,1
45,179637,15184,693,7,0
47,170724,28602,590,31,0
46,103144,57344,532,29,1
63,103617,20425,641,21,0
23,25875,65441,752,3,0
52,105853,59250,369,24,1
58,63996,40708,695,15,0
54,180065,30885,476,23,1
41,112101,83570,406,28,1
46,151638,42512,346,12,0
63,125698,73603,445,39,0
48,94139,61079,835,26,0
52,53690,98207,569,39,0
50,191813,42077,337,34,1
38,118340,67227,340,28,0
49,17646,43973,845,1,1
40,137372,86533,367,34,1
50,56592,53461,501,9,0
20,44339,32699,622,15,0
35,118849,25778,712,4,0
42,182521,26129,597,31,0
59,113718,50377,647,10,0
48,124702,50668,650,37,0
20,105883,82838,830,35,0
57,199703,52699,456,31,0
63,54967,71865,514,33,0
41,189619,12208,509,19,0
49,80463,64680,464,29,1
64,61851,6701,440,21,0
39,40062,99675,700,26,0
40,74123,19713,600,38,0
19,104229,58439,846,14,0
44,154293,85265,700,38,0
59,30234,26091,758,16,0
19,154393,29497,376,15,1
43,22945,17602,781,0,1
34,20189,36883,383,1,1
57,117518,28097,719,17,0
50,148446,83040,330,13,0
26,157405,34616,829,34,0
60,142066,23512,519,25,0
56,125711,77151,833,17,0
46,186979,61058,733,31,0
59,24173,52666,527,4,0
43,150374,21812,627,19,0
52,125997,46329,705,17,0
42,185751,54512,430,21,0
41,70842,39321,806,4,0
30,172819,94830,728,4,0
24,146183,11321,500,9,0
53,136841,58897,424,32,0
62,96102,71306,788,7,0
37,118013,10744,352,39,0
18,167496,25053,445,28,0
25,154969,58633,466,10,0
63,53640,32467,330,9,1
33,29482,94976,345,12,1
31,105052,70676,556,9,0
29,135963,79271,428,30,0
40,173427,18208,643,21,0
32,71145,11642,738,23,0
45,166655,80173,611,30,0
51,132288,5913,834,20,0
19,96718,95249,489,12,1
49,19857,96858,435,25,1
40,26166,45353,621,27,1
39,137494,84775,816,15,0
42,22498,26130,593,12,0
39,183879,9693,547,2,0
39,171495,72741,431,19,0
59,198167,35208,466,11,1
23,121371,43917,563,13,0
32,59180,60885,392,2,1
60,56128,33343,648,19,0
54,103620,20554,555,5,0
50,114411,46958,336,3,0
25,74911,43494,777,22,0
61,72450,92295,666,4,0
61,60940,78213,499,11,0
22,71584,79619,666,25,1
56,156342,38724,574,31,0
21,19342,18117,622,25,0
23,58933,63325,723,28,0
62,82089,78542,578,12,0
49,170560,73514,443,8,0
47,111279,12338,695,8,0
64,130185,18828,599,33,0
52,69101,83975,771,22,0
57,191431,57269,540,24,0
33,147493,91818,505,21,0
30,135668,31979,615,17,0
59,68525,72195,467,31,0
47,40117,46686,642,19,0
36,71462,86827,698,7,0
34,129073,10891,737,30,0
36,135331,55620,426,20,0
45,191006,43145,494,14,0
43,89954,50156,678,0,0
54,72593,66602,610,26,0
43,158462,77237,651,17,0
40,37562,38795,372,13,1
26,109081,10563,746,9,0
29,179371,76215,360,31,0
18,163747,10495,641,4,0
18,100044,72075,523,0,1
64,134568,59981,630,22,0
51,51881,8634,803,31,0
49,24319,59531,325,11,1
42,191279,64733,457,32,1
57,18911,89664,827,7,1
62,54927,48654,772,7,0
18,126464,53047,771,10,0
33,94261,18132,437,20,1
56,114411,72562,456,32,1
22,53195,76146,427,15,0
39,69422,24943,427,9,0
46,126140,30420,599,17,0
20,62561,8267,564,33,0
29,119800,88071,845,14,0
43,147759,21823,637,35,0
33,184827,30880,574,20,0
54,35855,42874,636,3,0
39,43879,53485,722,32,0
46,168137,64554,384,22,0
31,31091,59877,827,31,1
45,158819,76702,717,8,0
22,182315,42258,602,4,0
64,194758,77782,593,36,0
47,197756,29302,715,23,0
63,35601,19254,471,25,0
22,180869,69779,679,19,0
29,109458,44154,756,32,0
33,135646,14505,313,17,0
43,118722,97288,590,36,0
43,21190,59431,621,33,0
38,170220,47883,684,5,0
56,128962,28959,685,19,0
53,142871,6355,353,29,0
50,92471,57117,431,28,0
47,59550,87850,746,13,0
54,190830,92508,466,7,0
40,151991,33784,729,27,0
27,170865,65304,690,28,0
22,51183,50033,574,13,0
53,102872,20662,432,25,0
51,16716,17712,393,33,1
48,146361,39832,468,21,0
27,19697,69003,715,23,0
36,194171,33151,687,39,0
49,141148,28592,305,0,0
18,107855,26125,429,10,1
22,78041,6963,546,14,0
62,81145,51231,697,24,0
21,148425,18365,443,16,1
33,31919,20047,792,17,0
41,35141,14064,668,28,0
33,145946,11490,423,23,0
19,89484,90790,796,6,1
45,129289,96400,687,30,0
49,87693,25177,740,2,0
44,149921,46780,315,14,0
37,186909,54787,438,1,0
41,121849,95113,490,33,0
29,190923,90205,783,35,0
52,183170,17691,757,6,0
50,138185,95999,593,8,0
50,177105,33419,535,31,1
60,181835,32877,337,30,0
54,26900,86579,398,23,1
29,169426,77509,396,1,1
20,148286,24568,627,10,0
18,158412,43035,353,1,0
50,162731,82747,401,7,0
57,160759,26637,768,2,0
27,21553,13188,790,19,1
60,88874,35301,708,8,0
61,133236,6955,789,10,0
46,142605,68618,820,27,0
30,139833,38114,704,25,0
29,163307,45058,365,23,1
48,59143,77143,656,36,0
63,103719,68527,369,12,0
19,44287,50477,575,19,0
52,122006,76724,504,30,1
40,170212,9285,686,17,0
34,109233,29527,660,25,0
43,45657,85488,452,36,0
25,29746,73471,350,1,1
46,105067,81382,314,26,0
43,195566,68041,405,18,0
27,153817,49805,455,17,0
43,147495,41221,534,2,0
51,62305,20853,623,25,0
58,158131,63704,785,24,0
24,39721,39798,600,38,1
21,180751,44411,510,0,0
62,112895,77164,405,0,0
28,43277,83361,584,29,0
46,81875,53171,312,1,0
53,131934,10092,734,27,0
42,160836,12392,792,26,0
38,162953,54930,313,7,0
53,91676,46373,493,24,1
27,196014,9442,633,18,0
54,23201,52210,558,12,1
26,39568,82729,303,30,1
41,177402,55374,728,3,0
52,17816,69870,479,5,1
52,48094,74350,775,34,0
53,97802,32905,316,12,0
35,33055,59335,478,7,0
56,118306,50661,686,22,0
49,164630,29303,311,34,0
41,20235,97542,364,12,1
40,114227,91173,542,21,0
49,162233,7148,369,39,0
54,199490,8746,607,28,0
29,160619,19969,619,5,0
30,144947,90221,667,15,0
40,176980,62572,589,22,0
42,192641,26073,756,38,0
52,112188,45765,307,39,0
58,69259,12788,783,31,0
47,135408,56765,645,22,0
34,89881,84329,576,2,0
37,17070,57336,547,8,1
42,104266,91565,647,5,0
39,117904,61605,781,3,0
30,48688,25499,710,19,0
36,133170,7511,832,36,0
53,192683,78283,717,4,0
29,37856,70391,700,13,1
58,193646,66645,684,2,0
36,163899,92560,436,18,1
29,158771,45683,385,26,1
26,116105,80741,300,29,0
24,98695,80064,839,34,0
45,164748,21272,763,1,0
31,18703,18580,373,1,1
48,112193,48578,665,14,0
36,179665,45697,419,7,1
64,127501,30979,729,29,0
33,121015,77223,703,37,0
22,96547,42815,802,22,0
52,133429,46410,317,30,0
29,170786,22802,709,32,0
42,101372,24317,623,3,0
38,131947,48449,676,38,0
53,98082,81929,786,9,0
40,116743,6258,807,0,0
33,181373,16715,728,25,0
56,184452,8120,356,38,0
62,155623,77048,621,32,0
59,121234,46364,376,27,0
56,33609,20468,419,29,1
31,107672,61012,544,8,0
48,84208,63866,336,34,0
22,148232,57098,584,33,0
52,144567,84401,808,5,0
40,147869,10807,646,18,0
46,109248,38907,633,29,0
60,157243,58598,564,18,0
28,106302,72197,566,10,0
35,194030,39390,450,17,1
64,169525,29132,452,16,1
29,88429,60808,509,9,0
26,35792,91863,659,15,0
27,148002,42066,562,6,0
61,161777,94700,520,31,0
34,77594,66263,561,39,0
55,15047,22082,303,8,0
24,15133,64723,517,18,1
63,193694,52851,791,24,0
30,26238,95230,828,33,0
57,50132,92344,532,0,1
59,116813,35504,656,2,0
26,174154,49773,394,31,0
44,126663,67651,510,15,0
19,71305,55375,692,21,0
22,68246,18511,799,4,0
46,66689,35584,613,6,0
54,186836,28316,799,33,0
55,168440,54191,796,14,0
36,50239,20303,773,34,0
25,82970,28388,783,31,0
62,96559,80341,381,24,0
18,142019,80209,554,39,0
39,106922,98914,333,20,0
34,192342,57391,508,14,0
24,102601,78626,649,29,0
42,135632,15087,710,13,0
62,59014,18561,713,29,0
21,30665,38250,808,22,0
53,55542,17707,410,3,0
23,101769,99242,808,26,0
48,183040,10620,358,23,1
36,38481,68316,461,29,1
61,85558,5292,336,13,0
56,198716,95251,315,7,1
44,61954,63801,480,3,1
27,135156,41760,622,29,0
43,121243,81763,557,31,0
36,24145,95942,336,11,0
56,196566,31998,701,13,0
20,75835,46463,683,4,0
62,140622,15705,714,26,0
30,80506,98449,476,35,1
45,58064,78529,672,10,0
37,37954,10634,731,8,0
45,111872,17996,549,16,0
25,124120,96958,713,6,0
58,185123,64275,671,26,0
56,107221,84821,606,39,0
18,21574,33972,804,7,1
20,47381,8752,743,26,0
30,172111,73959,314,25,1
45,20331,75109,341,36,1
42,45412,51597,571,2,0
50,98857,58726,469,21,1
55,126132,21257,414,17,0
23,32458,89015,599,8,0
61,29058,45671,300,28,0
62,181413,64192,349,32,0
49,50165,47052,796,6,0
62,73425,81328,678,32,0
64,15418,61847,541,4,0
38,97559,26683,462,36,0
33,66236,56979,573,9,0
38,52357,81046,731,7,0
28,97278,13404,343,0,0
54,98723,87276,822,39,0
53,184044,29084,592,16,0
52,186729,26200,340,13,0
36,128290,60027,354,29,0
37,64690,55331,395,20,1
35,84975,42672,745,36,0
64,71040,6920,667,20,0
58,172866,47046,460,8,0
31,155977,98602,605,19,0
32,107179,98615,721,11,0
48,41926,64882,443,29,1
18,192124,12206,717,1,1
20,59228,89446,826,3,1
33,46046,97325,508,31,1
40,150743,23454,740,2,0
28,129419,71443,387,30,0
29,65187,24717,822,28,0
27,121856,52831,623,13,0
49,132507,18409,843,23,0
33,39871,99726,689,31,0
25,81962,51898,702,12,0
55,127362,7317,423,17,1
29,79140,43627,347,21,0
41,179532,33397,501,10,0
45,44171,86558,646,30,0
25,71745,8345,591,23,0
45,96772,54372,768,4,0
53,48835,32928,795,7,0
43,81668,19880,342,12,1
25,143738,7610,397,13,0
45,153684,68447,540,9,0
45,112360,75449,634,22,0
54,24433,8732,429,12,1
58,147018,36718,402,2,0
53,190179,71110,728,9,0
44,16615,35841,625,38,1
34,93387,94455,774,25,0
26,88790,73122,717,33,0
50,102635,36952,321,27,0
37,48161,22682,819,20,0
30,178670,16488,831,10,0
45,90229,13249,849,19,0
46,146460,59010,692,23,0
30,195811,89207,374,21,1
63,116801,22907,676,8,0
52,94437,59534,489,35,0
23,175379,77670,417,27,1
35,88205,23830,647,21,0
22,115875,41844,463,30,1
64,75816,19817,832,36,0
42,107096,73014,527,19,0
19,60241,72629,384,20,1
27,138684,13024,532,34,0
47,198209,47991,376,8,0
62,130397,14930,440,36,1
22,143167,45491,463,36,0
50,167086,55246,768,9,0
18,49198,91583,554,24,0
35,160381,31755,837,9,0
49,175997,79585,849,0,0
64,162248,26364,481,11,1
28,127932,26550,778,33,0
38,112679,68517,697,20,0
43,164494,37373,700,30,0
42,35517,61365,543,31,0
39,69503,40663,361,14,0
44,43514,6568,489,19,0
30,148287,90774,437,33,0
50,31486,33107,442,6,0
51,105256,48902,706,39,0
58,89482,41951,450,27,1
52,27249,67503,512,2,1
18,169259,36263,501,9,0
38,199685,11632,469,21,0
23,54064,66536,806,19,0
45,136253,36343,444,17,1
34,188862,91765,322,31,1
22,92437,54675,727,3,0
48,61783,15510,572,32,0
22,57271,92226,397,1,1
55,170419,99791,837,15,0
20,70142,86667,741,7,0
40,75683,17314,426,36,1
54,108806,81900,307,6,0
54,119526,12609,562,16,0
27,75791,79420,821,25,0
27,18668,21934,454,13,0
36,65767,86294,544,7,0
34,180902,89242,713,18,0
38,56739,54165,523,27,1
31,137243,24782,650,12,0
26,196282,6953,759,36,0
63,50166,55812,590,2,0
18,157268,26272,607,8,0
62,164786,71984,701,39,0
30,191764,74425,487,13,1
21,196983,41974,839,10,0
18,191652,92721,667,35,0
57,68028,69961,499,13,1
49,173138,53661,743,21,0
51,144649,35363,487,25,1
45,79631,22254,445,39,0
48,115420,13408,590,31,0
25,58281,38280,751,35,0
56,64711,19742,392,26,0
43,85977,31223,379,11,0
51,193096,46570,456,35,1
20,106497,34770,778,20,0
29,197841,80406,652,2,0
18,25146,75373,724,30,1
61,179429,32563,395,18,1
22,113802,64977,573,17,0
47,70499,32592,563,13,0
47,31313,44968,808,35,0
34,42398,47171,324,26,0
64,139518,13133,723,36,0
40,155396,33205,411,3,1
32,153504,71330,754,0,1
54,35867,7075,779,19,0
38,180431,93493,619,3,0
31,45971,87026,490,0,0
19,127627,35108,329,24,1
28,65759,26087,591,18,0
56,182564,98752,358,22,0
55,137243,38403,581,32,0
51,106827,54914,356,16,0
55,199078,93974,442,32,0
51,125455,42402,334,10,0
35,187141,13905,503,37,1
47,45291,70658,431,38,0
32,163224,99779,375,6,0
44,144216,22738,587,20,0
51,80674,46031,683,29,0
55,64372,47900,596,24,0
50,199151,79020,396,7,0
41,66539,99103,821,29,1
32,17525,87541,342,7,1
47,134742,60855,598,19,0
59,24637,20348,700,34,0
34,63324,56468,725,2,0
22,71108,86126,799,16,0
46,49377,36246,728,24,0
21,95069,47519,714,3,0
27,126875,5842,310,31,0
34,129886,59199,630,11,0
27,75207,94040,797,3,0
34,37368,52879,571,14,1
37,40736,55647,597,26,0
41,32753,68094,339,5,1
22,149643,92909,395,32,0
51,41798,16433,573,6,0
23,179328,34810,565,2,0
19,116844,62990,752,34,1
30,193491,26498,616,18,0
60,91595,45958,645,4,0
60,107539,72735,519,13,1
28,176696,37026,410,4,0
64,155128,96620,470,6,1
40,78279,81414,360,39,1
33,33564,29940,376,36,1
48,157292,60810,827,31,0
28,26290,52061,565,4,0
33,198552,86637,610,9,0
25,35018,80669,342,9,1
21,70138,82084,740,17,0
57,97155,56216,401,19,0
21,96567,55921,680,10,0
42,24006,42382,561,38,1
20,189998,68658,835,8,0
49,172337,80042,532,26,0
20,30908,92719,520,13,0
44,86165,12874,556,10,0
46,99406,38996,304,37,1
49,164121,43352,808,12,0
36,156899,19886,549,9,0
38,84522,98051,691,14,1
22,55954,53741,370,7,0
35,82359,60840,747,23,0
45,69980,90353,795,32,0
59,102256,52254,674,33,0
39,101008,76539,415,14,0
38,146682,84904,347,37,0
23,182708,53216,455,39,0
18,157956,14698,567,10,0
22,141446,48549,805,7,0
58,197387,91792,570,17,0
29,196973,25317,365,5,0
43,118249,98309,637,13,0
63,167628,93125,416,21,0
51,192748,31311,680,0,0
31,26018,8398,489,15,1
43,51599,48753,599,17,0
62,168561,75362,470,21,1
44,133557,79904,834,39,0
26,126694,10294,305,32,1
43,63071,10426,485,17,1
64,27394,37539,604,23,0
39,29417,99561,494,39,1
64,42849,80123,620,30,1
47,50207,75857,565,32,1
60,170362,34603,440,5,1
34,139947,55126,391,16,1
43,161187,35053,508,33,0
53,178824,86730,444,36,1
18,192474,59987,784,19,0
25,170313,78632,625,3,0
52,64021,73249,781,23,0
32,142627,92784,413,10,0
64,184269,99134,776,21,0
39,130159,57442,675,26,0
31,79079,61296,437,35,0
43,104979,45717,301,28,1
45,51533,93881,611,10,0
40,137514,43986,621,30,0
31,104832,43643,312,1,0
41,94283,55832,714,15,0
19,98093,46654,339,17,0
62,145798,42037,443,11,0
43,61963,75590,632,38,0
31,46034,62775,672,12,0
24,29143,16325,474,29,1
20,134057,43643,794,17,0
64,108415,30743,516,4,0
40,84662,48387,306,29,0
63,165249,5234,316,36,1
60,192123,22199,790,2,0
64,86721,69053,771,0,0
62,199009,52549,811,34,0
35,129938,15190,401,7,0
55,145557,70696,764,7,0
52,110203,23630,673,35,0
32,88993,73935,772,10,0
42,162014,87857,628,9,0
54,127022,45058,686,16,0
45,82659,50574,472,35,0
27,32894,16175,331,29,1
56,117156,65908,622,12,0
34,199999,80917,403,9,0
56,51190,60862,307,39,0
39,23431,90419,526,2,1
43,116311,54977,518,31,0
61,178410,41351,738,17,0
42,177655,67045,355,35,0
34,159985,6464,760,35,0
30,29860,42532,327,18,1
37,47924,38112,664,31,0
42,119646,15307,824,35,0
21,110231,35525,800,3,0
27,88134,56450,564,4,0
20,183601,8700,556,31,0
58,178525,12992,739,6,0
62,131707,79049,380,7,1
35,69389,11992,368,2,1
64,123182,32624,419,31,0
53,121227,41659,530,35,0
64,101090,92402,736,33,0
39,69199,92600,711,37,0
51,46444,91550,691,32,1
64,194184,11868,514,23,0
25,33798,83847,489,19,0
57,75147,58396,563,10,0
61,157513,8336,472,38,1
36,193864,78926,514,1,0
59,77942,16345,410,0,1
58,47860,85600,830,6,0
54,128605,54327,830,13,0
23,135931,81111,693,2,0
43,27468,46683,309,15,1
51,73014,15732,791,30,0
62,180983,76649,627,15,0
23,105343,23546,471,1,1
54,32986,18316,451,20,0
50,50719,36648,562,33,0
39,74116,7496,537,9,0
38,90794,60302,783,8,0
23,147382,14513,795,13,0
23,111462,73923,318,15,0
21,78798,69899,566,28,0
47,97078,7380,813,18,0
28,35162,82818,596,21,0
47,131274,20970,620,23,0
48,31761,65266,661,16,0
41,34679,76569,442,37,0
26,89441,42500,605,8,0
20,158451,17266,572,29,0
48,62770,87865,701,26,0
57,74567,33269,668,36,0
54,159493,72340,487,10,0
53,109183,31602,528,5,0
41,63938,89254,629,21,0
48,25974,21870,461,25,0
23,138617,81073,362,14,0
19,17500,39373,357,39,1
37,75490,89849,447,14,0
45,197087,27666,469,9,0
28,195715,26652,381,5,0
21,88649,24097,575,37,0
32,108116,31638,366,25,1
23,127742,49439,524,16,0
47,111296,93507,608,4,0
55,137189,96473,764,1,0
19,157877,33103,526,25,0
32,123025,74736,587,16,0
28,137098,31530,637,14,0
25,22731,7843,415,25,1
43,122197,40484,612,23,0
62,110310,77499,360,38,0
61,115788,17477,662,26,0
22,197979,59839,565,37,0
23,120932,31881,330,12,0
43,26460,55257,660,7,1
21,26294,46152,574,11,0
36,25059,11141,627,28,0
37,125621,28099,615,18,0
50,177928,60233,689,39,0
37,22817,73972,799,4,1
29,108917,13589,733,35,0
64,149105,84915,836,21,0
18,27971,81664,561,32,1
43,177067,98627,770,32,0
31,34731,78108,354,8,0
55,146083,48475,536,29,0
54,90244,58537,524,9,0
28,164076,61757,835,24,0
53,37537,89672,841,20,0
30,39836,58420,709,22,1
60,154583,9935,542,33,0
20,158545,60612,535,18,1
50,25468,33987,428,9,1
23,115231,81175,763,5,0
27,70965,86458,830,20,0
